id,Etot
400 , -292.925
401 , -283.937
402 , -267.96
403 , -276.953
404 , -288.469
405 , -288.436
406 , -291.64
407 , -267.972
408 , -267.918
409 , -279.802
410 , -267.99
411 , -267.949
412 , -267.907
413 , -267.938
414 , -283.925
415 , -291.65
416 , -283.912
417 , -279.839
418 , -283.938
419 , -267.975
420 , -291.661
421 , -276.993
422 , -295.762
423 , -277.022
424 , -295.736
425 , -267.977
426 , -279.748
427 , -267.956
428 , -283.971
429 , -267.975
430 , -288.491
431 , -279.78
432 , -268
433 , -299.817
434 , -267.954
435 , -268.018
436 , -276.996
437 , -288.425
438 , -279.773
439 , -288.822
440 , -267.963
441 , -276.926
442 , -279.822
443 , -283.94
444 , -277.026
445 , -267.984
446 , -288.444
447 , -279.822
448 , -300.297
449 , -283.964
450 , -288.83
451 , -279.813
452 , -283.918
453 , -267.934
454 , -283.922
455 , -304.442
456 , -267.925
457 , -304.418
458 , -295.741
459 , -267.97
460 , -288.455
461 , -279.738
462 , -268.028
463 , -295.703
464 , -288.506
465 , -268.021
466 , -295.703
467 , -267.975
468 , -268.001
469 , -295.764
470 , -268.006
471 , -283.932
472 , -267.941
473 , -292.957
474 , -279.775
475 , -267.978
476 , -292.889
477 , -288.45
478 , -299.875
479 , -283.943
480 , -283.934
481 , -267.941
482 , -291.646
483 , -283.907
484 , -267.903
485 , -279.779
486 , -279.81
487 , -283.927
488 , -267.959
489 , -267.974
490 , -268.008
491 , -267.994
492 , -267.939
493 , -267.985
494 , -283.921
495 , -267.996
496 , -276.987
497 , -279.805
498 , -267.982
499 , -267.986
500 , -267.986
501 , -267.983
502 , -267.995
503 , -300.347
504 , -304.445
505 , -267.976
506 , -267.955
507 , -267.952
508 , -279.802
509 , -267.943
510 , -283.94
511 , -279.817
512 , -277.004
513 , -267.948
514 , -283.916
515 , -267.978
516 , -267.937
517 , -283.88
518 , -267.915
519 , -283.915
520 , -283.904
521 , -297.493
522 , -279.78
523 , -267.968
524 , -292.917
525 , -267.982
526 , -288.485
527 , -276.977
528 , -283.91
529 , -267.974
530 , -279.779
531 , -276.96
532 , -267.972
533 , -283.896
534 , -283.931
535 , -267.959
536 , -297.486
537 , -292.955
538 , -277.003
539 , -268.002
540 , -283.942
541 , -276.991
542 , -288.428
543 , -268.001
544 , -267.952
545 , -288.513
546 , -279.807
547 , -267.946
548 , -279.785
549 , -267.973
550 , -267.912
551 , -267.969
552 , -304.733
553 , -283.866
554 , -279.801
555 , -279.82
556 , -267.985
557 , -283.891
558 , -276.982
559 , -279.778
560 , -267.993
561 , -283.963
562 , -283.906
563 , -295.726
564 , -279.783
565 , -304.435
566 , -291.625
567 , -279.808
568 , -288.461
569 , -299.867
570 , -267.94
571 , -267.921
572 , -283.867
573 , -268.008
574 , -267.982
575 , -267.957
576 , -267.962
577 , -267.975
578 , -283.931
579 , -279.79
580 , -279.797
581 , -283.917
582 , -267.981
583 , -283.927
584 , -279.817
585 , -299.9
586 , -304.473
587 , -267.981
588 , -279.799
589 , -267.945
590 , -288.504
591 , -267.938
592 , -267.98
593 , -300.284
594 , -267.961
595 , -267.913
596 , -295.762
597 , -279.816
598 , -267.979
599 , -268.016
600 , -288.48
601 , -276.982
602 , -283.936
603 , -267.988
604 , -267.94
605 , -267.909
606 , -268.017
607 , -283.97
608 , -279.768
609 , -304.372
610 , -283.954
611 , -267.981
612 , -279.771
613 , -268.025
614 , -267.954
615 , -267.969
616 , -283.943
617 , -267.974
618 , -267.964
619 , -276.999
620 , -276.929
621 , -267.969
622 , -267.958
623 , -283.871
624 , -267.939
625 , -279.78
626 , -267.953
627 , -276.979
628 , -288.47
629 , -267.956
630 , -279.782
631 , -283.877
632 , -267.929
633 , -267.939
634 , -267.937
635 , -279.805
636 , -283.935
637 , -267.97
638 , -267.982
639 , -267.936
640 , -279.819
641 , -267.954
642 , -267.907
643 , -279.765
644 , -279.737
645 , -267.986
646 , -267.99
647 , -267.911
648 , -288.779
649 , -267.971
650 , -267.928
651 , -283.914
652 , -295.737
653 , -291.609
654 , -279.781
655 , -276.998
656 , -267.992
657 , -288.363
658 , -279.824
659 , -267.982
660 , -267.984
661 , -267.924
662 , -279.803
663 , -267.982
664 , -283.89
665 , -279.757
666 , -279.775
667 , -279.766
668 , -267.954
669 , -283.966
670 , -277.002
671 , -267.918
672 , -268.001
